,rho,mae,rmse,type,embedding,id
,0.360161302,0.637337689,1.112177543,ir_yr,rh,3
,0.713496647,0.526186037,0.707545214,ir_yr,rh,3
,0.521869739,0.414661002,0.860354296,ir_yr,rh,3
,0.606765375,0.535398638,0.793385796,ir_yr,rh,3
,0.554024062,0.587677133,0.838386816,ir_yr,rh,3
,0.648225958,0.568152921,0.75978803,ir_yr,rh,3
,0.731285444,0.369869267,0.531023601,ir_yr,rh,3
,0.656683303,0.532302866,0.754497229,ir_yr,rh,3
,0.505268692,0.53991632,0.874106919,ir_yr,svpd,4
,0.115226597,0.557551284,1.017065972,ir_yr,svpd,4
,0.617316011,0.476252552,0.790817803,ir_yr,svpd,4
,0.628898821,0.500407673,0.782302422,ir_yr,svpd,4
,0.368551135,0.707020825,0.937899231,ir_yr,svpd,4
,0.496136865,0.751819187,0.860747166,ir_yr,svpd,4
,0.481568411,0.646687996,0.890108901,ir_yr,svpd,4
,0.592178749,0.498516759,0.812497701,ir_yr,svpd,4
,0.820888137,0.312015573,0.58084001,ir_yr,svpd,4
,0.416750537,0.602548164,0.917958862,ir_yr,svpd,4
,0.357110994,0.454772948,0.942976508,ir_yr,svpd,4
,0.533068533,0.494275713,0.85551937,ir_yr,svpd,4
,0.067544331,0.70496462,1.354226484,ir_yr,svpd,4
,0.519941976,0.441674768,0.858002588,ir_yr,svpd,4
,0.431532625,0.714242065,0.856394642,ir_yr,svpd,4
,0.607061488,0.464449417,0.800816816,ir_yr,svpd,4
,0.360161302,0.637337689,1.112177543,ir_yr,svpd,4
,0.713496647,0.526186037,0.707545214,ir_yr,svpd,4
,0.521869739,0.414661002,0.860354296,ir_yr,svpd,4
,0.606765375,0.535398638,0.793385796,ir_yr,svpd,4
,0.554024062,0.587677133,0.838386816,ir_yr,svpd,4
,0.648225958,0.568152921,0.75978803,ir_yr,svpd,4
,0.731285444,0.369869267,0.531023601,ir_yr,svpd,4
,0.656683303,0.532302866,0.754497229,ir_yr,svpd,4
,0.614746132,0.538010343,0.821919861,ir_yr,t2m+tp,5
,0.17979581,0.553161157,1.001347656,ir_yr,t2m+tp,5
,0.638605532,0.473168015,0.773336286,ir_yr,t2m+tp,5
,0.701396357,0.506368135,0.721140746,ir_yr,t2m+tp,5
,0.438503196,0.692450193,0.930037575,ir_yr,t2m+tp,5
,0.516202253,0.684915297,0.847252188,ir_yr,t2m+tp,5
,0.528091184,0.630743062,0.859222884,ir_yr,t2m+tp,5
,0.761164264,0.432844016,0.654630615,ir_yr,t2m+tp,5
,0.848989139,0.336621352,0.548781661,ir_yr,t2m+tp,5
,0.516432776,0.539978761,0.881438034,ir_yr,t2m+tp,5
,0.405424909,0.49114953,0.947752163,ir_yr,t2m+tp,5
,0.820949509,0.366821411,0.58564338,ir_yr,t2m+tp,5
,0.380214202,0.53118632,0.956650906,ir_yr,t2m+tp,5
,0.494053435,0.472190766,0.874736519,ir_yr,t2m+tp,5
,0.487304544,0.676263033,0.827198657,ir_yr,t2m+tp,5
,0.636450636,0.494727435,0.775998806,ir_yr,t2m+tp,5
,0.516173286,0.431379283,0.883570718,ir_yr,t2m+tp,5
,0.75539453,0.466690086,0.660286967,ir_yr,t2m+tp,5
,0.70252253,0.37097618,0.717074497,ir_yr,t2m+tp,5
,0.74322805,0.44254073,0.666532686,ir_yr,t2m+tp,5
,0.512798784,0.574647833,0.923050161,ir_yr,t2m+tp,5
,0.436529989,0.674735913,0.897391131,ir_yr,t2m+tp,5
,0.739011059,0.329293022,0.524641942,ir_yr,t2m+tp,5
