date,Year,Month,Cases,Hemisphere,model,country,facet
2015/11/1,2015,11,0.794986518,N,obs,Colombia,N-obs
2015/12/1,2015,12,0.653518191,N,obs,Colombia,N-obs
2016/1/1,2016,1,1.52837368,N,obs,Colombia,N-obs
2016/2/1,2016,2,1.577997259,N,obs,Colombia,N-obs
2016/3/1,2016,3,1.231180527,N,obs,Colombia,N-obs
2016/4/1,2016,4,1.128917569,N,obs,Colombia,N-obs
2016/5/1,2016,5,1.370455547,N,obs,Colombia,N-obs
2016/6/1,2016,6,0.90163609,N,obs,Colombia,N-obs
2016/7/1,2016,7,0.334117801,N,obs,Colombia,N-obs
2016/8/1,2016,8,-0.062596675,N,obs,Colombia,N-obs
2016/9/1,2016,9,-0.486179167,N,obs,Colombia,N-obs
2016/10/1,2016,10,-0.683850996,N,obs,Colombia,N-obs
2016/11/1,2016,11,-0.768293331,N,obs,Colombia,N-obs
2016/12/1,2016,12,-0.842317456,N,obs,Colombia,N-obs
2017/1/1,2017,1,-0.942661269,N,obs,Colombia,N-obs
2017/2/1,2017,2,-1.26288415,N,obs,Colombia,N-obs
2017/3/1,2017,3,-1.331699169,N,obs,Colombia,N-obs
2017/4/1,2017,4,-1.335811621,N,obs,Colombia,N-obs
2017/5/1,2017,5,-1.261239169,N,obs,Colombia,N-obs
2017/6/1,2017,6,-1.32374843,N,obs,Colombia,N-obs
2017/7/1,2017,7,-1.225872087,N,obs,Colombia,N-obs
2017/8/1,2017,8,-1.317168508,N,obs,Colombia,N-obs
2017/9/1,2017,9,-1.369259558,N,obs,Colombia,N-obs
2017/10/1,2017,10,-1.381322749,N,obs,Colombia,N-obs
2017/11/1,2017,11,-1.379677769,N,obs,Colombia,N-obs
2017/12/1,2017,12,-1.350068119,N,obs,Colombia,N-obs
2018/1/1,2018,1,-1.238757768,N,obs,Colombia,N-obs
2018/2/1,2018,2,-1.352809753,N,obs,Colombia,N-obs
2018/3/1,2018,3,-1.389821815,N,obs,Colombia,N-obs
2018/4/1,2018,4,-1.311685239,N,obs,Colombia,N-obs
2018/5/1,2018,5,-0.995026483,N,obs,Colombia,N-obs
2018/6/1,2018,6,-0.814078623,N,obs,Colombia,N-obs
2018/7/1,2018,7,-0.767470841,N,obs,Colombia,N-obs
2018/8/1,2018,8,-0.973641736,N,obs,Colombia,N-obs
2018/9/1,2018,9,-0.532238622,N,obs,Colombia,N-obs
2018/10/1,2018,10,-0.409961735,N,obs,Colombia,N-obs
2018/11/1,2018,11,-0.117155197,N,obs,Colombia,N-obs
2018/12/1,2018,12,-0.096867103,N,obs,Colombia,N-obs
2019/1/1,2019,1,0.339052742,N,obs,Colombia,N-obs
2019/2/1,2019,2,-0.973641736,N,obs,Colombia,N-obs
2019/3/1,2019,3,0.459958813,N,obs,Colombia,N-obs
2019/4/1,2019,4,0.186069551,N,obs,Colombia,N-obs
2019/5/1,2019,5,1.565385742,N,obs,Colombia,N-obs
2019/6/1,2019,6,1.913024965,N,obs,Colombia,N-obs
2019/7/1,2019,7,2.224748779,N,obs,Colombia,N-obs
2019/8/1,2019,8,0.939744806,N,obs,Colombia,N-obs
