old_time,date,country,cases,month,time,time_yr,time_14
2019.8282,2019/10/31,Colombia,10234,10,2495,2129,2130
2019.910335,2019/11/30,Colombia,11919,11,2525,2159,2160
2019.995209,2019/12/31,Colombia,11283,12,2556,2190,2191
2014.081451,2014/1/31,Costa Rica,1025,1,396,30,31
2014.158111,2014/2/28,Costa Rica,538,2,424,58,59
2014.242984,2014/3/31,Costa Rica,374,3,455,89,90
2014.32512,2014/4/30,Costa Rica,354,4,485,119,120
2014.409993,2014/5/31,Costa Rica,607,5,516,150,151
2014.492129,2014/6/30,Costa Rica,1147,6,546,180,181
2014.577002,2014/7/31,Costa Rica,1541,7,577,211,212
2014.661875,2014/8/31,Costa Rica,1479,8,608,242,243
2014.744011,2014/9/30,Costa Rica,1314,9,638,272,273
2014.828884,2014/10/31,Costa Rica,986,10,669,303,304
2014.91102,2014/11/30,Costa Rica,948,11,699,333,334
2014.995893,2014/12/31,Costa Rica,809,12,730,364,365
2015.080767,2015/1/31,Costa Rica,541,1,761,395,396
2015.157426,2015/2/28,Costa Rica,200,2,789,423,424
2015.2423,2015/3/31,Costa Rica,172,3,820,454,455
2015.324435,2015/4/30,Costa Rica,187,4,850,484,485
2015.409309,2015/5/31,Costa Rica,360,5,881,515,516
2015.491444,2015/6/30,Costa Rica,790,6,911,545,546
2015.576318,2015/7/31,Costa Rica,1264,7,942,576,577
2015.661191,2015/8/31,Costa Rica,1885,8,973,607,608
2015.743326,2015/9/30,Costa Rica,2114,9,1003,637,638
2015.8282,2015/10/31,Costa Rica,3256,10,1034,668,669
2015.910335,2015/11/30,Costa Rica,4070,11,1064,698,699
2015.995209,2015/12/31,Costa Rica,2555,12,1095,729,730
2016.080082,2016/1/31,Costa Rica,3452,1,1126,760,761
2016.15948,2016/2/29,Costa Rica,2005,2,1155,789,790
2016.244353,2016/3/31,Costa Rica,894,3,1186,820,821
2016.326489,2016/4/30,Costa Rica,612,4,1216,850,851
2016.411362,2016/5/31,Costa Rica,1041,5,1247,881,882
2016.493498,2016/6/30,Costa Rica,1979,6,1277,911,912
2016.578371,2016/7/31,Costa Rica,3034,7,1308,942,943
2016.663244,2016/8/31,Costa Rica,3348,8,1339,973,974
2016.74538,2016/9/30,Costa Rica,2433,9,1369,1003,1004
2016.830253,2016/10/31,Costa Rica,1847,10,1400,1034,1035
2016.912389,2016/11/30,Costa Rica,1560,11,1430,1064,1065
2016.997262,2016/12/31,Costa Rica,1112,12,1461,1095,1096
2017.082136,2017/1/31,Costa Rica,638,1,1492,1126,1127
2017.158795,2017/2/28,Costa Rica,273,2,1520,1154,1155
2017.243669,2017/3/31,Costa Rica,266,3,1551,1185,1186
2017.325804,2017/4/30,Costa Rica,227,4,1581,1215,1216
2017.410678,2017/5/31,Costa Rica,413,5,1612,1246,1247
2017.492813,2017/6/30,Costa Rica,730,6,1642,1276,1277
2017.577687,2017/7/31,Costa Rica,997,7,1673,1307,1308
2017.66256,2017/8/31,Costa Rica,750,8,1704,1338,1339
2017.744695,2017/9/30,Costa Rica,520,9,1734,1368,1369
2017.829569,2017/10/31,Costa Rica,446,10,1765,1399,1400
2017.911704,2017/11/30,Costa Rica,289,11,1795,1429,1430
2017.996578,2017/12/31,Costa Rica,102,12,1826,1460,1461
2018.081451,2018/1/31,Costa Rica,174,1,1857,1491,1492
2018.158111,2018/2/28,Costa Rica,175,2,1885,1519,1520
2018.242984,2018/3/31,Costa Rica,129,3,1916,1550,1551
2018.32512,2018/4/30,Costa Rica,176,4,1946,1580,1581
