country,date,obs_cases_std,pre_cases_std_without,pre_cases_std_with
Cambodia,2018/8/31,0.52387668,-0.28074,-0.542114666
Cambodia,2018/9/30,-0.130799009,-0.9449,-1.250646579
Cambodia,2018/10/31,0.010530701,-0.81287,-1.887404152
Cambodia,2018/11/30,0.548495403,-0.30189,-0.914328236
Cambodia,2018/12/31,0.403518475,0.25836,0.278493029
Cambodia,2019/1/31,-0.864801697,0.64108,0.767687181
Cambodia,2019/2/28,-0.683352585,0.74044,0.770432712
Cambodia,2019/3/31,-1.068134118,0.74607,0.673136732
Cambodia,2019/4/30,-2.062912916,0.65458,0.132332943
Cambodia,2019/5/31,0.158243043,0.41457,-0.610794181
Cambodia,2019/6/30,-1.362646998,0.20724,-1.105114462
Cambodia,2019/7/31,-3.165284654,-0.25213,-2.089635069
Cambodia,2019/8/31,-1.923406815,-1.28041,-2.008961567
Cambodia,2019/9/30,-3.275613009,-2.23615,-1.404647994
Cambodia,2019/10/31,-0.734413642,-1.99573,-0.277383457
Cambodia,2019/11/30,-0.372427223,-0.82428,0.223461075
Cambodia,2019/12/31,-0.139917055,0.04208,0.624430922
Colombia,2014/2/28,-0.292690756,0.254295918,0.621375974
Colombia,2014/3/31,-0.355458262,-0.442349201,0.362358381
Colombia,2014/4/30,-0.3265741,-0.817884778,-0.718204699
Colombia,2014/5/31,-0.354625065,-0.959673569,-1.907789684
Colombia,2014/6/30,-0.402117293,-0.586066239,-1.925974549
Colombia,2014/7/31,-0.68929252,-0.378720166,-1.816331906
Colombia,2014/8/31,-0.238810685,-0.311434974,-1.683568155
Colombia,2014/9/30,-0.583754236,-0.457114693,-1.428340665
Colombia,2014/10/31,-0.872040392,-0.2614101,-0.975291013
Colombia,2014/11/30,-0.533206952,0.118291869,-0.154394228
Colombia,2014/12/31,-1.032569678,0.264265834,0.0547296
Colombia,2015/1/31,-0.971746298,0.39045335,0.282267521
Colombia,2015/2/28,-0.354347333,0.414697305,0.417754467
Colombia,2015/3/31,-0.411837925,0.241029826,0.128164371
Colombia,2015/4/30,-0.33490607,-0.215639266,-0.122631517
Colombia,2015/5/31,-0.251030907,-0.718032238,-0.134034451
Colombia,2015/6/30,0.08391428,-1.065382848,0.16159354
Colombia,2015/7/31,0.166400782,-1.189967665,0.266764752
Colombia,2015/8/31,0.187786171,-1.808838051,0.373647336
Colombia,2015/9/30,-0.115219799,-2.126757845,0.45623174
Colombia,2015/10/31,-0.465717997,-2.095129579,0.538733097
Colombia,2015/11/30,-0.795941734,-1.720470478,0.585651133
Colombia,2015/12/31,-0.652631853,-1.558920281,0.005822236
Colombia,2016/1/31,-1.538875711,-1.112768902,-0.821939951
Colombia,2016/2/29,-1.589145263,-1.207262417,-1.362882693
Colombia,2016/3/31,-1.237813868,-1.705579775,-2.734082015
Colombia,2016/4/30,-1.13421971,-1.433139699,-2.258773508
Colombia,2016/5/31,-1.378901891,-0.731639529,-1.240799023
Colombia,2016/6/30,-0.90397961,0.067227745,-0.404500313
Colombia,2016/7/31,-0.329073691,0.391048102,0.070505239
Colombia,2016/8/31,0.072804987,0.465946115,0.249190032
Colombia,2016/9/30,0.501901434,0.529005441,0.461402719
Colombia,2016/10/31,0.702146442,0.518412601,0.492606131
Colombia,2016/11/30,0.787687999,0.52301097,0.568321742
Colombia,2016/12/31,0.862675728,0.485065815,0.523036268
Colombia,2017/1/31,0.964325759,0.542021111,0.58798748
Colombia,2017/2/28,1.288717118,0.504251251,0.699075404
Colombia,2017/3/31,1.358427933,0.28230872,0.671852342
Colombia,2017/4/30,1.362593918,0.340381523,0.725970937
Colombia,2017/5/31,1.287050724,0.601427409,0.839411733
Colombia,2017/6/30,1.350373695,0.782419724,0.918585257
Colombia,2017/7/31,1.251223254,0.887343305,0.966573166
Colombia,2017/8/31,1.343708119,0.916868028,0.952649147
Colombia,2017/9/30,1.396477262,0.931364317,0.866251336
Colombia,2017/10/31,1.408697484,0.973300568,0.785824472
Colombia,2017/11/30,1.40703109,1.03966546,0.819615916
Colombia,2017/12/31,1.377035999,1.065718713,0.820231145
Colombia,2018/1/31,1.264276674,1.084750765,0.861241367
Colombia,2018/2/28,1.379813322,1.059048103,0.916496781
Colombia,2018/3/31,1.417307186,0.975598188,0.87100962
Colombia,2018/4/30,1.338153473,0.957455132,0.920318662
Colombia,2018/5/31,1.017372634,0.99128711,0.979284521
Colombia,2018/6/30,0.834069298,1.045519069,1.022047639
Colombia,2018/7/31,0.786854802,1.079679725,1.018426597
Colombia,2018/8/31,0.995709513,1.080443511,0.963408462
Colombia,2018/9/30,0.548560465,1.079297832,0.882568903
Colombia,2018/10/31,0.424691846,1.094949191,0.784742312
Colombia,2018/11/30,0.12807372,1.121700493,0.726938695
Colombia,2018/12/31,0.107521528,1.132468628,0.699913506
Colombia,2019/1/31,-0.334072873,1.143574833,0.723442649
Colombia,2019/2/28,0.995709513,1.143305629,0.762615232
Colombia,2019/3/31,-0.45655283,1.033533258,0.610428954
Colombia,2019/4/30,-0.179098234,0.72789665,-0.06012258
Colombia,2019/5/31,-1.576369576,0.288384578,-1.203722966
Colombia,2019/6/30,-1.928534167,-0.029281665,-1.773063723
Colombia,2019/7/31,-2.244315824,-0.309879228,-1.989516495
Colombia,2019/8/31,-0.942584403,-0.880521516,-1.745071624
Colombia,2019/9/30,-1.022293582,-1.569650853,-1.352289474
Colombia,2019/10/31,-0.936474292,-1.820022512,-0.801509837
Colombia,2019/11/30,-1.404453265,-1.386724029,-0.337639432
Colombia,2019/12/31,-1.227815504,-1.668451621,-0.064594011
Costa Rica,2014/2/28,0.463159041,0.40938,0.61007922
Costa Rica,2014/3/31,0.640976439,0.10159,0.608535901
Costa Rica,2014/4/30,0.662661488,0.12866,0.607568009
Costa Rica,2014/5/31,0.388345623,0.28965,0.600817882
Costa Rica,2014/6/30,-0.197150688,0.6052,0.592302195
Costa Rica,2014/7/31,-0.624346145,0.67843,0.591491609
Costa Rica,2014/8/31,-0.557122494,0.74334,0.594713196
Costa Rica,2014/9/30,-0.378220844,0.85448,0.594389674
Costa Rica,2014/10/31,-0.022586047,0.91674,0.587814046
Costa Rica,2014/11/30,0.018615545,1.00399,0.595483252
Costa Rica,2014/12/31,0.169326633,0.99347,0.592546083
