"","country","climate_var","method","LibSize","q025","q500","q975"
"1303","Guatemala","tp","observed",35,0.0919049283047186,0.0919049283047186,0.0919049283047186
"1304","Guatemala","tp","observed",40,0.094813331932863,0.094813331932863,0.094813331932863
"1305","Guatemala","tp","observed",45,0.0815180849857763,0.0815180849857763,0.0815180849857763
"1306","Guatemala","tp","observed",50,0.0759480922891796,0.0759480922891796,0.0759480922891796
"1307","Guatemala","tp","observed",55,0.0726301432482039,0.0726301432482039,0.0726301432482039
"1308","Guatemala","tp","observed",60,0.0696925076931578,0.0696925076931578,0.0696925076931578
"1309","Guatemala","tp","ebisuzaki",5,-0.075852422850031,-0.00117746893150652,0.102055862995884
"1310","Guatemala","tp","ebisuzaki",10,-0.0903017368239347,0.0133796529176705,0.138041672777199
"1311","Guatemala","tp","ebisuzaki",15,-0.0932813105138294,0.0320985652058831,0.186287642798781
"1312","Guatemala","tp","ebisuzaki",20,-0.109705851593782,0.0375206758868199,0.195397487148601
"1313","Guatemala","tp","ebisuzaki",25,-0.116880441640873,0.0603751322936783,0.228366014511332
"1314","Guatemala","tp","ebisuzaki",30,-0.107541023969565,0.0642006653417597,0.2579376023918
"1315","Guatemala","tp","ebisuzaki",35,-0.131759439002857,0.0690284311493429,0.282735527063988
"1316","Guatemala","tp","ebisuzaki",40,-0.153542347587023,0.0747307170964349,0.295962274810966
"1317","Guatemala","tp","ebisuzaki",45,-0.164037306342871,0.0777760189000026,0.310060704550353
"1318","Guatemala","tp","ebisuzaki",50,-0.175583482959951,0.0885066091150899,0.323482276430891
"1319","Guatemala","tp","ebisuzaki",55,-0.196115405117286,0.0994624832095332,0.347512737064151
"1320","Guatemala","tp","ebisuzaki",60,-0.206014007616506,0.111634025245207,0.370536360402818
"1321","Guatemala","tp","seasonal",5,0.0247033784541889,0.0980727389407037,0.18582919158725
"1322","Guatemala","tp","seasonal",10,0.057390029668686,0.134728084768374,0.219334177391177
"1323","Guatemala","tp","seasonal",15,0.0489838315720924,0.127758589833737,0.225684246410239
"1324","Guatemala","tp","seasonal",20,0.0466312881675364,0.138001639929783,0.241545215742244
"1325","Guatemala","tp","seasonal",25,0.049452847144981,0.13304964992784,0.265026316293615
"1326","Guatemala","tp","seasonal",30,0.00397698246800094,0.109438005177002,0.252895978529819
"1327","Guatemala","tp","seasonal",35,0.00754129349112255,0.11889739924388,0.253481091000504
"1328","Guatemala","tp","seasonal",40,-0.00565071333303051,0.115113401456458,0.254952366892529
"1329","Guatemala","tp","seasonal",45,-0.00787022823123815,0.113898128477116,0.260413421966195
"1330","Guatemala","tp","seasonal",50,-0.0196554501598785,0.10973188323151,0.257098853846331
"1331","Guatemala","tp","seasonal",55,-0.0244245516325378,0.109801270039491,0.259780092279583
"1332","Guatemala","tp","seasonal",60,-0.0351229346012124,0.101542612209924,0.255241547005714
"1333","Guatemala","rh","observed",5,0,0,0
"1334","Guatemala","rh","observed",10,0.248912381295474,0.248912381295474,0.248912381295474
"1335","Guatemala","rh","observed",15,0.297456146337072,0.297456146337072,0.297456146337072
