Year,Month,IR_detrend,Hemisphere,facet
2017,4,2.410690276,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,5,3.519569414,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,6,2.277404455,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,7,1.013850551,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,8,-0.238257824,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,9,-0.043468799,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,10,-0.383754748,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,11,-0.252916062,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2017,12,-0.341713609,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,1,0.304661432,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,2,-0.213867396,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,3,-0.069792389,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,4,-0.23101312,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,5,-0.712085496,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,6,-1.390170396,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,7,-1.043381107,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,8,-0.941405096,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,9,-1.844867259,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,10,-1.851024063,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,11,-1.33377411,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2018,12,-0.78104868,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,1,0.280920205,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,2,0.324707304,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,3,0.161093928,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,4,-0.523428079,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,5,0.127908438,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,6,0.304035781,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,7,-0.386354554,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,8,-0.176685768,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,9,-0.399195811,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,10,-0.326404093,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,11,1.660783042,Southern Hemisphere,Southern Hemisphere_Negative IOBW
2019,12,1.249375645,Southern Hemisphere,Southern Hemisphere_Negative IOBW
